IdKlasa;IdGrupa;NazwaKlasa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11;01.1;ZBOŻA, ROŚLINY STRĄCZKOWE ORAZ NASIONA OLEISTE, Z WYŁĄCZENIEM RYŻU;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.12;01.1;RYŻ NIEŁUSKANY;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13;01.1;WARZYWA ŚWIEŻE LUB SCHŁODZONE, WŁĄCZAJĄC MELONY ORAZ ROŚLINY KORZENIOWE I BULWIASTE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.14;01.1;TRZCINA CUKROWA;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.15;01.1;TYTOŃ NIEPRZETWORZONY;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.16;01.1;ROŚLINY WŁÓKNISTE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.19;01.1;POZOSTAŁE ROŚLINY INNE NIŻ WIELOLETNIE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.21;01.2;WINOGRONA;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.22;01.2;OWOCE TROPIKALNE I PODZWROTNIKOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.23;01.2;OWOCE CYTRUSOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.24;01.2;OWOCE ZIARNKOWE I PESTKOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.25;01.2;OWOCE ŚWIEŻE, Z POZOSTAŁYCH KRZEWÓW I DRZEW OWOCOWYCH ORAZ DRZEW ORZECHOWYCH;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.26;01.2;OWOCE OLEISTE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.27;01.2;ROŚLINY WYKORZYSTYWANE DO PRODUKCJI NAPOJÓW;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.28;01.2;ROŚLINY PRZYPRAWOWE I AROMATYCZNE ORAZ ROŚLINY WYKORZYSTYWANE DO PRODUKCJI LEKÓW I WYROBÓW FARMACEUTYCZNYCH;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.29;01.2;POZOSTAŁE ROŚLINY WIELOLETNIE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.30;01.3;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia";Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
