IdRodzajProdukt;NazwaRodzajProduktNa;NazwaRodzajProdukt;OpisRodzajProdukt;UwagiRodzajProdukt;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
101;na ziarno;ziarno;np. zbóż;;D;Dodany;2025-02-02 19:19:29;Darek Osuch;;;;
102;na owoce;owoce;np. jabłka, pomidory, strąki fasoli;;D;Dodany;2025-02-02 19:19:47;Darek Osuch;;;;
103;na bulwy;bulwy;np. ziemniaków, topinambura;;Z;Zmodyfikowany;2025-02-02 19:20:01;Darek Osuch;2025-02-02 19:20:25;Darek Osuch;;
104;na korzenie;korzenie;np. buraka cukrowego, marchwi;;D;Dodany;2025-02-02 19:20:41;Darek Osuch;;;;
105;na kłącza;kłacza;np. ziół;;D;Dodany;2025-02-02 19:20:50;Darek Osuch;;;;
106;na łodygi/włókna;łodygi/włókna;np. rabarbaru, lnu;;Z;Zmodyfikowany;2025-02-02 19:21:03;Darek Osuch;2025-02-02 19:21:09;Darek Osuch;;
107;na liście;liscie;np. sałaty, szpinaku;;D;Dodany;2025-02-02 19:21:16;Darek Osuch;;;;
108;na zielonkę;zielonka;np. roślin przeznaczonych na paszę po skoszeniu;;D;Dodany;2025-02-02 19:21:43;Darek Osuch;;;;
109;na siano;siano;np. wysuszone z roslin przeznaczonych na paszę;;D;Dodany;2025-02-02 19:21:48;Darek Osuch;;;;
110;na słomę;słoma;np. z pozostałości po zbiorze zbóż;;D;Dodany;2025-02-02 19:21:55;Darek Osuch;;;;
111;na nasiona/sadzonki;nasiona/sadzonki;np. pozyskane w celach rozmnożeniowych;;Z;Zmodyfikowany;2025-02-02 19:22:07;Darek Osuch;2025-02-02 19:22:18;Darek Osuch;;
112;na nawóz zielony;nawóz zielony;np. w celu poprawy właściwości gleby;;D;Dodany;2025-02-02 19:22:32;Darek Osuch;;;;
113;na łuski/plewy;łuski/plewy;np. z odpadów po czyszczeniu zbóż;;D;Dodany;2025-03-25 18:22:50;Darek Osuch;;;;
114;na kwiaty;kwiaty;np. bez czarny;;D;Dodany;2025-04-13 01:00:29;Darek Osuch;;;;
115;na strąki;strąki;np. fasola;;D;Dodany;2025-04-13 01:00:31;Darek Osuch;;;;
